Data, Hora, Visitantes
23/10/2018 , 19:29:31 , 2
23/10/2018 , 19:29:31 , 2
23/10/2018 , 19:29:32 , 2
23/10/2018 , 19:29:32 , 2
23/10/2018 , 19:29:33 , 2
23/10/2018 , 19:29:33 , 2
23/10/2018 , 19:29:34 , 2
23/10/2018 , 19:29:34 , 2
23/10/2018 , 19:29:35 , 3
23/10/2018 , 19:29:35 , 3
23/10/2018 , 19:29:36 , 3
23/10/2018 , 19:29:36 , 3
23/10/2018 , 19:29:37 , 3
23/10/2018 , 19:29:37 , 3
23/10/2018 , 19:29:38 , 3
23/10/2018 , 19:29:38 , 3
23/10/2018 , 19:29:39 , 3
23/10/2018 , 19:29:39 , 3
23/10/2018 , 19:29:40 , 2
23/10/2018 , 19:29:40 , 2
23/10/2018 , 19:29:41 , 2
23/10/2018 , 19:29:41 , 2
23/10/2018 , 19:29:42 , 2
23/10/2018 , 19:29:42 , 2
23/10/2018 , 19:29:43 , 2
23/10/2018 , 19:29:43 , 2
23/10/2018 , 19:29:44 , 3
23/10/2018 , 19:29:44 , 3
23/10/2018 , 19:29:45 , 3
23/10/2018 , 19:29:45 , 3
23/10/2018 , 19:29:46 , 3
23/10/2018 , 19:29:46 , 3
23/10/2018 , 19:29:47 , 2
23/10/2018 , 19:29:47 , 2
23/10/2018 , 19:29:48 , 3
23/10/2018 , 19:29:48 , 3
23/10/2018 , 19:29:49 , 4
23/10/2018 , 19:29:49 , 4
23/10/2018 , 19:29:50 , 1
23/10/2018 , 19:29:50 , 1
23/10/2018 , 19:29:51 , 1
23/10/2018 , 19:29:51 , 1
23/10/2018 , 19:29:52 , 0
23/10/2018 , 19:29:52 , 0
23/10/2018 , 19:29:53 , 1
23/10/2018 , 19:29:53 , 1
23/10/2018 , 19:29:54 , 1
23/10/2018 , 19:29:54 , 1
23/10/2018 , 19:29:55 , 1
23/10/2018 , 19:29:55 , 1
23/10/2018 , 19:29:56 , 0
23/10/2018 , 19:29:56 , 0
23/10/2018 , 19:29:57 , 0
23/10/2018 , 19:29:57 , 0
23/10/2018 , 19:29:58 , 0
23/10/2018 , 19:29:58 , 0
23/10/2018 , 19:29:59 , 1
23/10/2018 , 19:29:59 , 1
23/10/2018 , 19:30:00 , 0
23/10/2018 , 19:30:00 , 0
23/10/2018 , 19:30:01 , 0
23/10/2018 , 19:30:01 , 0
23/10/2018 , 19:30:02 , 0
23/10/2018 , 19:30:02 , 0
23/10/2018 , 19:30:03 , 0
23/10/2018 , 19:30:03 , 0
23/10/2018 , 19:30:04 , 0
23/10/2018 , 19:30:04 , 0
23/10/2018 , 19:30:05 , 0
23/10/2018 , 19:30:05 , 0
23/10/2018 , 19:30:06 , 0
23/10/2018 , 19:30:06 , 0
23/10/2018 , 19:30:07 , 0
23/10/2018 , 19:30:07 , 0
23/10/2018 , 19:30:08 , 3
23/10/2018 , 19:30:08 , 3
23/10/2018 , 19:30:09 , 1
23/10/2018 , 19:30:09 , 1
23/10/2018 , 19:30:10 , 2
23/10/2018 , 19:30:10 , 2
23/10/2018 , 19:30:11 , 1
23/10/2018 , 19:30:11 , 1
23/10/2018 , 19:30:12 , 1
23/10/2018 , 19:30:12 , 1
23/10/2018 , 19:30:13 , 1
23/10/2018 , 19:30:13 , 1
23/10/2018 , 19:30:14 , 1
23/10/2018 , 19:30:14 , 1
23/10/2018 , 19:30:15 , 0
23/10/2018 , 19:30:15 , 0
23/10/2018 , 19:30:16 , 0
23/10/2018 , 19:30:16 , 0
23/10/2018 , 19:30:17 , 1
23/10/2018 , 19:30:17 , 1
23/10/2018 , 19:30:18 , 1
23/10/2018 , 19:30:18 , 1
23/10/2018 , 19:30:19 , 0
23/10/2018 , 19:30:19 , 0
23/10/2018 , 19:30:20 , 0
23/10/2018 , 19:30:20 , 0
23/10/2018 , 19:30:21 , 1
23/10/2018 , 19:30:21 , 1
