ID, Data, Tempo, Visitantes
1 , 26/10/2018 , 33 , 2 , 07:31:38
2 , 26/10/2018 , 66 , 2 , 07:32:38
3 , 26/10/2018 , 99 , 2 , 07:33:38
4 , 26/10/2018 , 135 , 1 , 07:34:38
5 , 26/10/2018 , 170 , 1 , 07:35:38
6 , 26/10/2018 , 207 , 0 , 07:36:38
7 , 26/10/2018 , 243 , 0 , 07:37:38
8 , 26/10/2018 , 278 , 1 , 07:38:38
9 , 26/10/2018 , 315 , 1 , 07:39:38
10 , 26/10/2018 , 349 , 2 , 07:40:38
11 , 26/10/2018 , 386 , 1 , 07:41:38
12 , 26/10/2018 , 422 , 1 , 07:42:38
13 , 26/10/2018 , 456 , 1 , 07:43:38
14 , 26/10/2018 , 491 , 1 , 07:44:38
15 , 26/10/2018 , 527 , 0 , 07:45:38
16 , 26/10/2018 , 563 , 0 , 07:46:38
17 , 26/10/2018 , 599 , 1 , 07:47:38
18 , 26/10/2018 , 633 , 1 , 07:48:38
19 , 26/10/2018 , 666 , 3 , 07:49:38
20 , 26/10/2018 , 699 , 2 , 07:50:38
21 , 26/10/2018 , 731 , 2 , 07:51:38
22 , 26/10/2018 , 763 , 3 , 07:52:38
23 , 26/10/2018 , 795 , 3 , 07:53:38
24 , 26/10/2018 , 825 , 3 , 07:54:38
25 , 26/10/2018 , 855 , 3 , 07:55:38
26 , 26/10/2018 , 887 , 3 , 07:56:38
27 , 26/10/2018 , 918 , 2 , 07:57:38
28 , 26/10/2018 , 948 , 3 , 07:58:38
29 , 26/10/2018 , 980 , 2 , 07:59:38
30 , 26/10/2018 , 1011 , 3 , 08:00:38
31 , 26/10/2018 , 1043 , 3 , 08:01:38
32 , 26/10/2018 , 1075 , 1 , 08:02:38
33 , 26/10/2018 , 1105 , 3 , 08:03:38
34 , 26/10/2018 , 1134 , 4 , 08:04:38
35 , 26/10/2018 , 1164 , 4 , 08:05:38
36 , 26/10/2018 , 1196 , 3 , 08:06:38
37 , 26/10/2018 , 1225 , 4 , 08:07:38
38 , 26/10/2018 , 1258 , 3 , 08:08:38
39 , 26/10/2018 , 1289 , 4 , 08:09:38
40 , 26/10/2018 , 1319 , 4 , 08:10:38
41 , 26/10/2018 , 1344 , 5 , 08:11:38
42 , 26/10/2018 , 1369 , 3 , 08:12:38
43 , 26/10/2018 , 1396 , 4 , 08:13:38
44 , 26/10/2018 , 1424 , 2 , 08:14:38
45 , 26/10/2018 , 1453 , 2 , 08:15:38
46 , 26/10/2018 , 1482 , 4 , 08:16:38
47 , 26/10/2018 , 1507 , 4 , 08:17:38
48 , 26/10/2018 , 1536 , 4 , 08:18:38
49 , 26/10/2018 , 1560 , 5 , 08:19:38
50 , 26/10/2018 , 1587 , 4 , 08:20:38
51 , 26/10/2018 , 1615 , 3 , 08:21:38
52 , 26/10/2018 , 1644 , 6 , 08:22:38
53 , 26/10/2018 , 1673 , 4 , 08:23:38
54 , 26/10/2018 , 1703 , 4 , 08:24:38
55 , 26/10/2018 , 1733 , 4 , 08:25:38
56 , 26/10/2018 , 1766 , 3 , 08:26:38
57 , 26/10/2018 , 1797 , 2 , 08:27:38
