Data, Hora, Visitantes
23/10/2018 , 20:31:35 , 2
23/10/2018 , 20:31:35 , 2
23/10/2018 , 20:32:35 , 2
23/10/2018 , 20:32:35 , 2
23/10/2018 , 20:33:35 , 2
23/10/2018 , 20:33:35 , 2
23/10/2018 , 20:34:35 , 1
23/10/2018 , 20:34:35 , 1
23/10/2018 , 20:35:35 , 1
23/10/2018 , 20:35:35 , 1
23/10/2018 , 20:36:35 , 1
23/10/2018 , 20:36:35 , 1
23/10/2018 , 20:37:35 , 0
23/10/2018 , 20:37:35 , 0
23/10/2018 , 20:38:35 , 0
23/10/2018 , 20:38:35 , 0
23/10/2018 , 20:39:35 , 1
23/10/2018 , 20:39:35 , 1
23/10/2018 , 20:40:35 , 1
23/10/2018 , 20:40:35 , 1
23/10/2018 , 20:41:35 , 2
23/10/2018 , 20:41:35 , 2
23/10/2018 , 20:42:35 , 1
23/10/2018 , 20:42:35 , 1
23/10/2018 , 20:43:35 , 1
23/10/2018 , 20:43:35 , 1
23/10/2018 , 20:44:35 , 1
23/10/2018 , 20:44:35 , 1
23/10/2018 , 20:45:35 , 1
23/10/2018 , 20:45:35 , 1
23/10/2018 , 20:46:35 , 0
23/10/2018 , 20:46:35 , 0
23/10/2018 , 20:47:35 , 0
23/10/2018 , 20:47:35 , 0
23/10/2018 , 20:48:35 , 1
23/10/2018 , 20:48:35 , 1
23/10/2018 , 20:49:35 , 1
23/10/2018 , 20:49:35 , 1
23/10/2018 , 20:50:35 , 3
23/10/2018 , 20:50:35 , 3
23/10/2018 , 20:51:35 , 2
23/10/2018 , 20:51:35 , 2
23/10/2018 , 20:52:35 , 2
23/10/2018 , 20:52:35 , 2
23/10/2018 , 20:53:35 , 3
23/10/2018 , 20:53:35 , 3
23/10/2018 , 20:54:35 , 3
23/10/2018 , 20:54:35 , 3
23/10/2018 , 20:55:35 , 3
23/10/2018 , 20:55:35 , 3
23/10/2018 , 20:56:35 , 3
23/10/2018 , 20:56:35 , 3
23/10/2018 , 20:57:35 , 2
23/10/2018 , 20:57:35 , 2
23/10/2018 , 20:58:35 , 3
23/10/2018 , 20:58:35 , 3
23/10/2018 , 20:59:35 , 3
23/10/2018 , 20:59:35 , 3
23/10/2018 , 21:00:35 , 3
23/10/2018 , 21:00:35 , 3
23/10/2018 , 21:01:35 , 3
23/10/2018 , 21:01:35 , 3
23/10/2018 , 21:02:35 , 3
23/10/2018 , 21:02:35 , 3
23/10/2018 , 21:03:35 , 1
23/10/2018 , 21:03:35 , 1
23/10/2018 , 21:04:35 , 2
23/10/2018 , 21:04:35 , 2
23/10/2018 , 21:05:35 , 3
23/10/2018 , 21:05:35 , 3
23/10/2018 , 21:06:35 , 4
23/10/2018 , 21:06:35 , 4
23/10/2018 , 21:07:35 , 4
23/10/2018 , 21:07:35 , 4
23/10/2018 , 21:08:35 , 4
23/10/2018 , 21:08:35 , 4
23/10/2018 , 21:09:35 , 4
23/10/2018 , 21:09:35 , 4
23/10/2018 , 21:10:35 , 3
23/10/2018 , 21:10:35 , 3
23/10/2018 , 21:11:35 , 4
23/10/2018 , 21:11:35 , 4
23/10/2018 , 21:12:35 , 5
23/10/2018 , 21:12:35 , 5
23/10/2018 , 21:13:35 , 5
23/10/2018 , 21:13:35 , 5
23/10/2018 , 21:14:35 , 3
23/10/2018 , 21:14:35 , 3
23/10/2018 , 21:15:35 , 4
23/10/2018 , 21:15:35 , 4
23/10/2018 , 21:16:35 , 2
23/10/2018 , 21:16:35 , 2
23/10/2018 , 21:17:35 , 2
23/10/2018 , 21:17:35 , 2
23/10/2018 , 21:18:35 , 4
23/10/2018 , 21:18:35 , 4
23/10/2018 , 21:19:35 , 4
23/10/2018 , 21:19:35 , 4
23/10/2018 , 21:20:35 , 5
23/10/2018 , 21:20:35 , 5
23/10/2018 , 21:21:35 , 4
23/10/2018 , 21:21:35 , 4
23/10/2018 , 21:22:35 , 3
23/10/2018 , 21:22:35 , 3
23/10/2018 , 21:23:35 , 6
23/10/2018 , 21:23:35 , 6
